Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Output
75dabc092d5bfa95f0440f93e14cb0204e1b2088f2e5ef2ca970bd775331fc56,0.4528226610811889,0.6844758064516129,0.0016167596493225549,0.0331615841536248,0.6156579584079281,0.2,1.0,0.5050550107517032
75dabc092d5bfa95f0440f93e14cb0204e1b2088f2e5ef2ca970bd775331fc56,0.8487931378416119,1.0,0.7355573266537629,0.009485682364567209,0.24166549729190942,0.45,0.0,0.7809708724488491
75dabc092d5bfa95f0440f93e14cb0204e1b2088f2e5ef2ca970bd775331fc56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41478028136201495
75dabc092d5bfa95f0440f93e14cb0204e1b2088f2e5ef2ca970bd775331fc56,0.258328346299621,0.25907258064516125,0.0003415689399977229,0.6514121975396677,1.0,0.0,0.0,0.4829974251958191
75dabc092d5bfa95f0440f93e14cb0204e1b2088f2e5ef2ca970bd775331fc56,0.9505286255735088,0.7348790322580645,1.0,0.005873460168041908,0.037429807558881714,1.0,0.5,0.6197485632384876
75dabc092d5bfa95f0440f93e14cb0204e1b2088f2e5ef2ca970bd775331fc56,1.0,0.5866935483870968,0.1526357736536491,0.0,0.4663203732588447,0.75,0.25,0.5398324588380107
e33635bc0a6a5229a4c32a0cf71edaa258e39a1f5defc9ce2a8aa7bb020a7c83,0.49345121152586763,0.5538461538461539,0.0014502912668294219,0.03213118618355825,0.28790276515540975,0.2,1.0,0.512668835815409
e33635bc0a6a5229a4c32a0cf71edaa258e39a1f5defc9ce2a8aa7bb020a7c83,1.0,1.0,1.0,0.008519232285349598,0.3630201372485084,0.45,0.0,0.8223002696172026
e33635bc0a6a5229a4c32a0cf71edaa258e39a1f5defc9ce2a8aa7bb020a7c83,0.029142108709888696,0.0,0.0,1.0,0.0,0.0,0.0,0.42185111477165604
e33635bc0a6a5229a4c32a0cf71edaa258e39a1f5defc9ce2a8aa7bb020a7c83,0.0,0.22533936651583714,0.000314229774479708,0.6268159201980519,1.0,0.0,0.0,0.4949385931551063
e33635bc0a6a5229a4c32a0cf71edaa258e39a1f5defc9ce2a8aa7bb020a7c83,0.9109364767518009,0.7375565610859728,0.970655773367818,0.005907683167238046,0.0011517227062875853,1.0,0.5,0.6101216790505977
e33635bc0a6a5229a4c32a0cf71edaa258e39a1f5defc9ce2a8aa7bb020a7c83,0.743614931237721,0.48235294117647065,0.18914215271567042,0.0,0.1813363319972259,0.75,0.25,0.547408430164197
134efe2cde083ec52a9478c16c3bdc81d0086f5189fd88266fbebbb06a189b1a,0.632463168777462,0.6933867735470941,0.0015544690986586435,0.03987288638438064,0.869425181970913,0.2,1.0,0.5109866027558344
134efe2cde083ec52a9478c16c3bdc81d0086f5189fd88266fbebbb06a189b1a,0.9824243990695268,1.0,0.8899335589820735,0.010774682419087515,0.8864811801115735,0.45,0.0,0.8119847796490098
134efe2cde083ec52a9478c16c3bdc81d0086f5189fd88266fbebbb06a189b1a,0.0,0.0,0.0,1.0,0.4647295326319219,0.0,0.0,0.42914962660514067
134efe2cde083ec52a9478c16c3bdc81d0086f5189fd88266fbebbb06a189b1a,0.6660635823210133,0.27955911823647295,0.0003008649868371568,0.7141317241896615,1.0,0.0,0.0,0.4898676703701128
134efe2cde083ec52a9478c16c3bdc81d0086f5189fd88266fbebbb06a189b1a,1.0,0.879759519038076,1.0,0.00663496039595354,0.0,1.0,0.5,0.6196245267484337
134efe2cde083ec52a9478c16c3bdc81d0086f5189fd88266fbebbb06a189b1a,0.930731455156371,0.6082164328657315,0.16479879654005264,0.0,0.38014559128533537,0.75,0.25,0.5469737205116622
8c402aef1af2a3f5570a85e0ec3b4d9138f68debee2da6089786962a8d90df4f,0.5947281713344315,0.7482161060142712,0.0015332797104363565,0.03427812053077892,0.7367987234427197,0.2,1.0,0.5143611573403378
8c402aef1af2a3f5570a85e0ec3b4d9138f68debee2da6089786962a8d90df4f,1.0,1.0,0.8259853207319525,0.008837419230509026,0.14413275737551104,0.45,0.0,0.8039970625825487
8c402aef1af2a3f5570a85e0ec3b4d9138f68debee2da6089786962a8d90df4f,0.0,0.0,0.0,1.0,0.7397832225380887,0.0,0.0,0.4227643523454005
8c402aef1af2a3f5570a85e0ec3b4d9138f68debee2da6089786962a8d90df4f,0.4229818780889622,0.25484199796126406,0.0002764930625377036,0.677781782042088,1.0,0.0,0.0,0.4860847053809219
8c402aef1af2a3f5570a85e0ec3b4d9138f68debee2da6089786962a8d90df4f,0.6085255354200988,0.7716615698267075,1.0,0.005527968679033433,0.0,1.0,0.5,0.6161083165627246
8c402aef1af2a3f5570a85e0ec3b4d9138f68debee2da6089786962a8d90df4f,0.5714579901153213,0.6360856269113151,0.16775588176151218,0.0,0.7979953617187939,0.75,0.25,0.5467165545011314
088a8c2ee986425378b8e5d07656da773cf6e724be6488fa4f534fc82b088b0e,0.21739130434782608,0.595978062157221,0.0015160703456640388,0.038344692458881,1.0,0.2,1.0,0.5167940712418431
